position,artist_name,song_name,days,top_10_x_times,peak_position,peak_position_x_times,peak_streams,total_streams,track_name,artists_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,cover_url
4114,Mac DeMarco ,Heart To Heart,12,0,97,0,378841,3961460,Heart To Heart,Mac DeMarco,1,2019,5,10,1640,0,244658767,27,27,29,1,1,150,G#,Minor,90,64,14,67,35,11,10,https://i.scdn.co/image/ab67616d0000b273fa1323bb50728c7489980672
4175,Lana Del Rey ,Summertime Sadness,16,0,156,0,249496,3790373,Summertime Sadness,Lana Del Rey,1,2011,1,1,20333,52,983637508,89,143,"1,632",3,200,112,C#,Minor,56,24,66,7,0,12,3,https://i.scdn.co/image/ab67616d0000b273f894be72a77b1488292672c7
4182,The Weeknd ,Every Angel is Terrifying,8,0,18,0,1020904,3777115,Every Angel is Terrifying,The Weeknd,1,2022,1,7,715,0,37307967,0,1,2,0,0,118,,Major,44,52,94,11,0,4,29,https://i.scdn.co/image/ab67616d0000b2734ab2520c2c77a1d66b9ee21d
4211,NewJeans ,Ditto,9,0,76,0,511027,3707974,Ditto,NewJeans,1,2022,12,19,1154,22,397582059,28,125,11,1,51,134,F#,Minor,81,18,64,3,0,10,11,https://i.scdn.co/image/ab67616d0000b273edf5b257be1d6593e81bb45f
4277,Guns N' Roses ,Sweet Child O' Mine,18,0,155,0,247706,3541621,Sweet Child O' Mine,Guns N' Roses,1,1987,1,1,41231,1,1553497987,228,151,"6,720",3,99,125,F#,Major,45,67,90,9,11,10,5,https://i.scdn.co/image/ab67616d0000b27321ebf49b3292c3f0f575f0f5
4335,BTS ,Run BTS,8,0,15,0,794579,3414062,Run BTS,BTS,1,2022,6,10,736,0,330881149,5,132,17,0,3,77,G#,Major,72,70,82,2,0,4,17,https://i.scdn.co/image/ab67616d0000b27317db30ce3f081d6818a8ad49
4415,Grupo Frontera ,No Se Va,10,0,48,0,403671,3202808,No Se Va,Grupo Frontera,1,2022,4,28,924,18,404887295,17,80,22,9,38,173,,Major,59,69,53,12,0,23,3,https://i.scdn.co/image/ab67616d0000b273042b5cc9a1a0a97cfc005ee8
4473,Future ,Worst Day,8,0,32,0,514345,3067934,Worst Day,Future,1,2022,2,11,910,0,50746620,20,3,24,0,0,89,C#,Major,65,60,60,11,0,10,40,https://i.scdn.co/image/ab67616d0000b2737e83b7d94b668d9ea94fe7ec
4589,The Weeknd ,Phantom Regret by Jim,7,0,29,0,794372,2822528,Phantom Regret by Jim,The Weeknd,1,2022,1,7,768,0,31959571,1,1,3,0,0,108,A,Minor,46,23,48,75,30,14,4,https://i.scdn.co/image/ab67616d0000b2734ab2520c2c77a1d66b9ee21d
4681,Dr. Dre ,Forgot About Dre,8,0,19,0,531827,2678337,Forgot About Dre,"Eminem, Dr. Dre",2,1999,1,1,19067,0,675039469,78,15,"1,674",0,3,134,G#,Major,93,61,74,9,0,17,8,Not Found
